満足度(1〜5),おすすめ度(1〜10),年代,性別,利用頻度,選んだ理由,改善してほしい点,自由記述
4,7,10代,女性,月1回以下,その他,サポート強化,サービス全体として非常に満足しています。今後も継続して利用したいです。
1,6,50代,女性,月2〜3回,口コミ,機能追加,少し価格が高いと感じますが品質は申し分ないです。
4,6,50代,女性,週1〜2日,デザイン,価格を下げてほしい,UIがわかりにくい部分があるので改善してほしいです。
3,10,40代,女性,週1〜2日,価格,UI改善,サポートの対応が早くて助かりました。
4,9,30代,男性,週3〜4日,品質,特になし,もう少し機能を増やしてほしいです。特に検索機能を強化してほしい。
4,8,40代,男性,週3〜4日,品質,特になし,特に問題はありません。これからも使います。
5,5,20代,男性,週1〜2日,品質,価格を下げてほしい,競合他社と比べてコストパフォーマンスが高いと思います。
2,9,40代,女性,週1〜2日,価格,価格を下げてほしい,モバイルアプリの動作が不安定なことがあります。
4,5,40代,女性,週3〜4日,品質,サポート強化,定期的なアップデートが嬉しいです。要望も反映されていて好印象です。
1,7,60代以上,女性,週3〜4日,その他,特になし,初めて使ったときは迷いましたが、慣れると使いやすいです。
3,10,60代以上,女性,週5日以上,品質,機能追加,
4,9,30代,男性,月2〜3回,デザイン,機能追加,
1,8,40代,男性,週3〜4日,品質,サポート強化,
3,9,30代,男性,月1回以下,品質,価格を下げてほしい,毎日使っているので、もう少し高速化してほしいです。
4,10,60代以上,女性,月1回以下,その他,機能追加,問題なく使えています。次回も利用予定です。
4,9,60代以上,女性,週5日以上,その他,UI改善,チュートリアルが充実していてスムーズに始められました。
3,6,30代,男性,週3〜4日,利便性,UI改善,
4,2,40代,女性,月2〜3回,利便性,特になし,デザインがシンプルで気に入っています。
5,7,40代,男性,週3〜4日,価格,UI改善,機能が多すぎて逆に使いにくいと感じることがあります。
1,6,20代,女性,週3〜4日,品質,価格を下げてほしい,価格に見合った品質だと思います。満足しています。
5,6,50代,女性,月1回以下,その他,機能追加,サービス全体として非常に満足しています。今後も継続して利用したいです。
4,10,40代,回答しない,週1〜2日,利便性,サポート強化,少し価格が高いと感じますが品質は申し分ないです。
4,10,50代,女性,週1〜2日,利便性,UI改善,UIがわかりにくい部分があるので改善してほしいです。
3,7,40代,女性,月2〜3回,利便性,特になし,サポートの対応が早くて助かりました。
5,9,10代,男性,月2〜3回,価格,価格を下げてほしい,もう少し機能を増やしてほしいです。特に検索機能を強化してほしい。
4,7,30代,女性,週3〜4日,利便性,価格を下げてほしい,特に問題はありません。これからも使います。
2,10,10代,男性,週5日以上,利便性,価格を下げてほしい,競合他社と比べてコストパフォーマンスが高いと思います。
2,8,60代以上,女性,週1〜2日,口コミ,UI改善,モバイルアプリの動作が不安定なことがあります。
5,6,60代以上,女性,週1〜2日,価格,サポート強化,定期的なアップデートが嬉しいです。要望も反映されていて好印象です。
4,6,50代,女性,週1〜2日,その他,UI改善,初めて使ったときは迷いましたが、慣れると使いやすいです。
5,8,30代,女性,月2〜3回,価格,UI改善,
4,6,20代,男性,月2〜3回,価格,価格を下げてほしい,
4,8,60代以上,女性,月1回以下,利便性,UI改善,
5,10,60代以上,男性,週5日以上,利便性,サポート強化,毎日使っているので、もう少し高速化してほしいです。
4,7,20代,女性,週1〜2日,品質,UI改善,問題なく使えています。次回も利用予定です。
4,6,40代,女性,週1〜2日,価格,特になし,チュートリアルが充実していてスムーズに始められました。
5,10,20代,男性,月1回以下,口コミ,機能追加,
4,8,50代,女性,週3〜4日,品質,価格を下げてほしい,デザインがシンプルで気に入っています。
5,4,50代,女性,週3〜4日,利便性,サポート強化,機能が多すぎて逆に使いにくいと感じることがあります。
4,3,20代,男性,週1〜2日,利便性,サポート強化,価格に見合った品質だと思います。満足しています。
4,4,40代,女性,週1〜2日,品質,価格を下げてほしい,サービス全体として非常に満足しています。今後も継続して利用したいです。
2,9,40代,男性,週3〜4日,利便性,機能追加,少し価格が高いと感じますが品質は申し分ないです。
3,9,30代,男性,週3〜4日,利便性,UI改善,UIがわかりにくい部分があるので改善してほしいです。
4,8,60代以上,男性,月1回以下,口コミ,サポート強化,サポートの対応が早くて助かりました。
2,3,40代,男性,週1〜2日,品質,UI改善,もう少し機能を増やしてほしいです。特に検索機能を強化してほしい。
3,7,30代,女性,月1回以下,利便性,UI改善,特に問題はありません。これからも使います。
3,10,40代,回答しない,週1〜2日,品質,サポート強化,競合他社と比べてコストパフォーマンスが高いと思います。
4,8,50代,男性,週5日以上,品質,価格を下げてほしい,モバイルアプリの動作が不安定なことがあります。
4,10,30代,女性,月1回以下,利便性,価格を下げてほしい,定期的なアップデートが嬉しいです。要望も反映されていて好印象です。
4,10,30代,男性,月2〜3回,品質,機能追加,初めて使ったときは迷いましたが、慣れると使いやすいです。
